NO,SIDO_NM,GOV_NM,LOCALFOOD_CERT_NO,CA_DT_START,CA_DT_END,CC_DT,WP_ROAD_ADD,WP_LOT_ADD,PC_ROAD_ADD,PC_LOT_ADD,ITEM_NM,CULT_AREA,CULT_SCALE,CG_DT,BIZ_OPR_NM,CRN,PHONE_NO,AGENCY_NM,ST_DT
000208,강원도,원주시,2017-0303-0002,2017-01-02,2018-01-01,,,,강원도 원주시 부론면 노림리 1500,,딸기,1565,,2017-01-02,김동성,,,강원도 원주시청,2017-11-03
000209,강원도,원주시,2017-0201-0204,2017-07-26,2018-07-25,,,,강원도 원주시 부론면 노림리 350,,애호박,5563,,2017-07-26,한만일,,,강원도 원주시청,2017-11-03
000210,강원도,원주시,2017-0303-0245,2017-08-16,2018-08-15,,,,강원도 원주시 부론면 법천리 1002-3,,아로니아베리,1320,,2017-08-16,지정구,,,강원도 원주시청,2017-11-03
000211,강원도,원주시,2017-0201-0246,2017-08-16,2018-08-15,,,,강원도 원주시 부론면 법천리 1031-1,,홍고추,3252,,2017-08-16,지정구,,,강원도 원주시청,2017-11-03
000212,강원도,원주시,2017-0102-0003,2017-01-02,2018-01-01,,,,강원도 원주시 부론면 손곡리 1007~9,,콩(백태),5576,,2017-01-02,이기호,,,강원도 원주시청,2017-11-03
000213,강원도,원주시,2017-0202-0152,2017-07-03,2018-07-02,,,,강원도 원주시 부론면 손곡리 1009,,감자,1507,,2017-07-03,이기호,,,강원도 원주시청,2017-11-03
000214,강원도,원주시,2017-0203-0045,2017-05-17,2018-05-16,,,,강원도 원주시 부론면 손곡리 1406-3,,미나리,1744,,2017-05-17,유정매,,,강원도 원주시청,2017-11-03
000215,강원도,원주시,2017-0301-0320,2017-10-25,2018-10-24,,,,강원도 원주시 부론면 손곡리 산210,,사과,14850,,2017-10-25,안만희,,,강원도 원주시청,2017-11-03
000216,강원도,원주시,2017-0302-0189,2017-07-17,2018-07-16,,,,강원도 원주시 부론면 정산리 1168-1,,복숭아,2777,,2017-07-17,한기옥,,,강원도 원주시청,2017-11-03
000217,강원도,원주시,2017-0301-0244,2017-08-16,2018-08-15,,,,강원도 원주시 부론면 정산리 1978~9,,사과,3332,,2017-08-16,지정구,,,강원도 원주시청,2017-11-03
000218,강원도,원주시,2017-0201-0186,2017-07-17,2018-07-16,,,,강원도 원주시 부론면 정산리 2319-1,,애호박,9480,,2017-07-17,한기옥,,,강원도 원주시청,2017-11-03
000219,강원도,원주시,2017-0304-0261,2017-08-31,2018-08-30,,,,강원도 원주시 부론면 흥호리 1008-4,,땅콩,566,,2017-08-31,곽영분,,,강원도 원주시청,2017-11-03
000220,강원도,원주시,2017-0202-0262,2017-08-31,2018-08-30,,,,강원도 원주시 부론면 흥호리 1008-4,,감자,566,,2017-08-31,곽영분,,,강원도 원주시청,2017-11-03
